,Score_Tm,Score_Opp,Off_1stD,Off_PassY,Off_RushY,Off_TO,Def_1stD,Def_PassY,Def_RushY,Def_TO
39,34.0,36.0,20.0,194.0,180.0,0.0,26.0,269.0,160.0,3.0
40,22.0,21.0,17.0,216.0,79.0,0.0,16.0,317.0,29.0,1.0
41,10.0,25.0,11.0,129.0,108.0,6.0,19.0,154.0,217.0,3.0
42,15.0,46.0,8.0,323.0,49.0,4.0,17.0,237.0,117.0,0.0
43,19.0,23.0,17.0,268.0,63.0,1.0,27.0,285.0,92.0,4.0
44,12.0,13.0,20.0,116.0,126.0,1.0,11.0,104.0,109.0,4.0
45,38.0,31.0,20.0,189.0,73.0,3.0,23.0,244.0,143.0,2.0
46,32.0,33.0,17.0,223.0,103.0,1.0,30.0,347.0,123.0,5.0
47,18.0,13.0,23.0,176.0,110.0,2.0,13.0,177.0,52.0,0.0
48,29.0,13.0,24.0,300.0,77.0,1.0,16.0,108.0,147.0,3.0
49,18.0,33.0,24.0,116.0,106.0,5.0,8.0,222.0,87.0,3.0
50,14.0,33.0,24.0,161.0,121.0,0.0,28.0,371.0,124.0,4.0
51,17.0,33.0,20.0,238.0,144.0,2.0,20.0,354.0,126.0,4.0
52,9.0,21.0,12.0,149.0,52.0,0.0,22.0,217.0,183.0,2.0
53,18.0,14.0,25.0,299.0,73.0,1.0,15.0,176.0,132.0,3.0
54,20.0,8.0,21.0,172.0,116.0,4.0,6.0,121.0,36.0,1.0
55,27.0,30.0,13.0,178.0,90.0,6.0,27.0,307.0,54.0,0.0
56,13.0,13.0,12.0,240.0,60.0,2.0,12.0,138.0,98.0,5.0
57,1.0,32.0,13.0,41.0,157.0,2.0,20.0,219.0,150.0,4.0
58,13.0,35.0,12.0,156.0,114.0,9.0,20.0,271.0,120.0,1.0
59,25.0,8.0,13.0,187.0,114.0,1.0,9.0,111.0,56.0,0.0
60,13.0,14.0,20.0,291.0,110.0,3.0,20.0,223.0,174.0,0.0
61,46.0,11.0,20.0,48.0,232.0,3.0,19.0,187.0,133.0,1.0
62,13.0,29.0,23.0,225.0,105.0,1.0,10.0,214.0,113.0,2.0
63,8.0,8.0,18.0,137.0,152.0,3.0,17.0,165.0,159.0,4.0
64,39.0,37.0,22.0,265.0,103.0,9.0,28.0,287.0,237.0,4.0
65,11.0,26.0,15.0,124.0,88.0,3.0,25.0,207.0,175.0,0.0
66,35.0,32.0,16.0,223.0,96.0,3.0,23.0,215.0,204.0,4.0
67,25.0,17.0,15.0,192.0,129.0,4.0,21.0,201.0,147.0,1.0
68,21.0,26.0,11.0,48.0,179.0,4.0,17.0,118.0,172.0,4.0
69,23.0,27.0,19.0,163.0,65.0,3.0,28.0,344.0,107.0,5.0
70,52.0,2.0,23.0,170.0,209.0,1.0,10.0,119.0,77.0,3.0
71,26.0,38.0,17.0,229.0,89.0,1.0,22.0,235.0,197.0,2.0
72,15.0,14.0,23.0,135.0,158.0,10.0,7.0,80.0,122.0,3.0
73,31.0,5.0,18.0,181.0,99.0,3.0,10.0,92.0,112.0,1.0
74,16.0,7.0,15.0,178.0,147.0,1.0,18.0,178.0,71.0,2.0
75,27.0,25.0,12.0,130.0,80.0,0.0,21.0,174.0,164.0,3.0
76,25.0,19.0,17.0,205.0,97.0,0.0,19.0,264.0,32.0,4.0
77,23.0,29.0,15.0,50.0,179.0,5.0,16.0,118.0,173.0,4.0
78,14.0,37.0,14.0,197.0,68.0,5.0,26.0,148.0,181.0,2.0
79,7.0,24.0,17.0,85.0,84.0,3.0,12.0,80.0,126.0,0.0
80,20.0,6.0,24.0,217.0,153.0,1.0,21.0,204.0,91.0,7.0
81,25.0,37.0,19.0,275.0,13.0,1.0,25.0,337.0,149.0,3.0
82,15.0,13.0,22.0,148.0,161.0,1.0,17.0,260.0,74.0,3.0
83,21.0,24.0,18.0,154.0,219.0,2.0,20.0,239.0,101.0,5.0
84,31.0,29.0,17.0,226.0,103.0,7.0,28.0,346.0,123.0,5.0
85,28.0,6.0,12.0,181.0,113.0,4.0,7.0,113.0,57.0,4.0
86,21.0,16.0,24.0,300.0,94.0,4.0,22.0,242.0,86.0,1.0
87,15.0,22.0,20.0,270.0,100.0,3.0,24.0,211.0,151.0,3.0
88,23.0,29.0,26.0,284.0,91.0,2.0,22.0,336.0,19.0,0.0
89,21.0,37.0,24.0,207.0,144.0,2.0,19.0,221.0,190.0,0.0
90,47.0,35.0,17.0,190.0,79.0,3.0,16.0,302.0,54.0,3.0
91,8.0,28.0,18.0,336.0,55.0,0.0,23.0,193.0,201.0,0.0
92,12.0,20.0,13.0,146.0,91.0,1.0,19.0,137.0,130.0,2.0
93,7.0,32.0,11.0,71.0,116.0,6.0,22.0,166.0,202.0,3.0
94,28.0,14.0,15.0,199.0,93.0,3.0,17.0,263.0,30.0,4.0
95,17.0,17.0,23.0,342.0,65.0,1.0,20.0,191.0,116.0,1.0
96,2.0,4.0,18.0,99.0,212.0,1.0,6.0,111.0,39.0,1.0
97,24.0,3.0,23.0,248.0,154.0,3.0,14.0,187.0,38.0,3.0
98,25.0,14.0,14.0,155.0,60.0,0.0,21.0,218.0,63.0,3.0
99,30.0,29.0,25.0,296.0,77.0,6.0,8.0,53.0,82.0,5.0
100,15.0,38.0,23.0,163.0,84.0,4.0,13.0,188.0,111.0,3.0
101,23.0,24.0,19.0,288.0,53.0,2.0,19.0,253.0,85.0,3.0
102,20.0,21.0,20.0,64.0,225.0,0.0,23.0,189.0,119.0,4.0
103,16.0,16.0,15.0,160.0,111.0,7.0,16.0,202.0,86.0,8.0
104,3.0,6.0,19.0,162.0,142.0,2.0,17.0,157.0,127.0,1.0
105,16.0,37.0,10.0,51.0,229.0,4.0,27.0,186.0,238.0,6.0
106,33.0,25.0,24.0,263.0,131.0,1.0,24.0,290.0,67.0,2.0
107,18.0,17.0,17.0,147.0,151.0,2.0,16.0,154.0,112.0,1.0
108,7.0,28.0,15.0,122.0,146.0,1.0,11.0,217.0,126.0,1.0
109,12.0,18.0,11.0,142.0,63.0,4.0,19.0,174.0,173.0,2.0
110,15.0,8.0,16.0,62.0,183.0,0.0,22.0,260.0,53.0,4.0
111,10.0,21.0,12.0,89.0,131.0,2.0,20.0,128.0,143.0,3.0
112,6.0,12.0,12.0,96.0,197.0,1.0,21.0,287.0,90.0,2.0
113,22.0,11.0,20.0,147.0,173.0,2.0,12.0,117.0,47.0,3.0
114,35.0,15.0,20.0,127.0,164.0,1.0,15.0,200.0,53.0,7.0
115,21.0,42.0,24.0,137.0,180.0,7.0,12.0,212.0,67.0,0.0
116,1.0,11.0,13.0,238.0,115.0,4.0,11.0,152.0,82.0,5.0
117,24.0,30.0,14.0,175.0,110.0,2.0,21.0,133.0,213.0,5.0
118,23.0,18.0,29.0,371.0,90.0,1.0,16.0,282.0,74.0,3.0
119,27.0,29.0,25.0,362.0,74.0,1.0,21.0,359.0,38.0,5.0
120,26.0,11.0,18.0,145.0,168.0,1.0,11.0,118.0,49.0,5.0
121,26.0,23.0,24.0,284.0,142.0,0.0,15.0,221.0,63.0,1.0
122,31.0,33.0,21.0,221.0,159.0,3.0,19.0,233.0,75.0,3.0
123,31.0,25.0,19.0,323.0,80.0,4.0,8.0,98.0,72.0,3.0
124,23.0,22.0,27.0,167.0,199.0,1.0,21.0,285.0,148.0,6.0
125,20.0,0.0,25.0,248.0,153.0,3.0,11.0,190.0,37.0,2.0
126,25.0,29.0,15.0,159.0,100.0,3.0,26.0,292.0,153.0,0.0
127,41.0,27.0,17.0,209.0,140.0,1.0,21.0,232.0,148.0,2.0
128,30.0,43.0,25.0,327.0,121.0,9.0,16.0,286.0,80.0,4.0
129,21.0,30.0,19.0,353.0,71.0,4.0,21.0,255.0,100.0,3.0
130,29.0,12.0,21.0,206.0,136.0,1.0,17.0,163.0,112.0,6.0
131,16.0,41.0,17.0,151.0,111.0,8.0,27.0,53.0,310.0,2.0
132,47.0,28.0,15.0,188.0,78.0,4.0,17.0,304.0,56.0,9.0
133,28.0,18.0,22.0,346.0,89.0,4.0,18.0,171.0,104.0,3.0
134,13.0,25.0,17.0,265.0,77.0,2.0,23.0,284.0,217.0,1.0
135,33.0,14.0,19.0,175.0,200.0,2.0,12.0,241.0,47.0,2.0
136,34.0,16.0,27.0,258.0,199.0,3.0,12.0,126.0,91.0,6.0
137,16.0,22.0,15.0,198.0,92.0,4.0,21.0,185.0,159.0,1.0
138,19.0,28.0,19.0,257.0,116.0,3.0,29.0,357.0,120.0,1.0
139,9.0,14.0,17.0,91.0,103.0,3.0,24.0,300.0,128.0,2.0
140,21.0,40.0,12.0,209.0,107.0,5.0,22.0,210.0,218.0,4.0
141,1.0,20.0,10.0,74.0,103.0,1.0,17.0,124.0,109.0,4.0
142,13.0,17.0,20.0,182.0,147.0,5.0,17.0,153.0,118.0,3.0
143,8.0,18.0,17.0,167.0,139.0,1.0,25.0,206.0,155.0,0.0
144,26.0,12.0,23.0,177.0,209.0,2.0,9.0,175.0,55.0,0.0
145,24.0,0.0,14.0,275.0,67.0,4.0,9.0,143.0,38.0,8.0
146,15.0,10.0,15.0,178.0,92.0,1.0,19.0,217.0,147.0,4.0
147,18.0,16.0,12.0,96.0,174.0,6.0,16.0,78.0,148.0,6.0
148,34.0,33.0,15.0,223.0,69.0,5.0,17.0,200.0,115.0,1.0
149,26.0,13.0,18.0,228.0,86.0,1.0,17.0,152.0,106.0,1.0
150,8.0,8.0,21.0,159.0,138.0,4.0,16.0,157.0,126.0,2.0
151,5.0,19.0,18.0,90.0,168.0,3.0,20.0,119.0,126.0,5.0
152,14.0,28.0,11.0,140.0,99.0,4.0,20.0,327.0,83.0,2.0
153,13.0,23.0,21.0,171.0,121.0,6.0,22.0,244.0,155.0,4.0
154,23.0,23.0,19.0,289.0,64.0,0.0,32.0,254.0,177.0,1.0
155,6.0,39.0,23.0,192.0,118.0,5.0,31.0,144.0,331.0,1.0
156,29.0,15.0,24.0,221.0,188.0,1.0,14.0,170.0,109.0,0.0
157,8.0,7.0,14.0,232.0,66.0,1.0,18.0,146.0,128.0,3.0
158,4.0,48.0,12.0,93.0,93.0,6.0,31.0,290.0,253.0,1.0
159,26.0,28.0,11.0,126.0,82.0,0.0,22.0,171.0,160.0,3.0
